client_id;dt;total_add_count;total_click_count;total_view_count
20493317;19.06.2024;11;1;7
8243375;19.06.2024;11;1;1
2453372;19.06.2024;11;12;7
229156;19.06.2024;11;1;1
956446972;21.06.2024;10;3;4
935040514;21.06.2024;10;0;0
925918873;21.06.2024;10;1;0
919260091;21.06.2024;10;0;4
918747238;21.06.2024;10;1;2
885315975;21.06.2024;10;1;2
868414396;21.06.2024;10;3;0
833673538;21.06.2024;10;9;4
806212597;21.06.2024;10;1;2
703561421;21.06.2024;10;2;4
684202307;21.06.2024;10;1;3
680103178;21.06.2024;10;6;3
679100458;21.06.2024;10;3;3
678885436;21.06.2024;10;3;6
672816587;21.06.2024;10;0;0
669528978;21.06.2024;10;6;0
657926226;21.06.2024;10;2;0
545088255;21.06.2024;10;4;5
544868964;21.06.2024;10;2;0
530461291;21.06.2024;10;0;0
78622952;21.06.2024;10;9;3
72850823;21.06.2024;10;46;11
72842141;21.06.2024;10;1;3
72335932;21.06.2024;10;0;0
71219152;21.06.2024;10;3;8
71054108;21.06.2024;10;10;0
70205868;21.06.2024;10;1;1
70027881;21.06.2024;10;0;0
68363411;21.06.2024;10;4;0
67543486;21.06.2024;10;2;0
66518455;21.06.2024;10;2;0
66204862;21.06.2024;10;6;11
58033173;21.06.2024;10;4;4
51079054;21.06.2024;10;4;3
43636547;21.06.2024;10;0;0
33162660;21.06.2024;10;1;0
14331256;21.06.2024;10;4;10
12404274;21.06.2024;10;3;5
8684234;21.06.2024;10;1;0
8209952;21.06.2024;10;2;0
7963820;21.06.2024;10;0;1
7738248;21.06.2024;10;1;0
6414980;21.06.2024;10;0;0
6250049;21.06.2024;10;3;1
5910617;21.06.2024;10;2;0
4785709;21.06.2024;10;1;0
4449604;21.06.2024;10;4;0
3901695;21.06.2024;10;5;6
3737784;21.06.2024;10;0;0
3398165;21.06.2024;10;4;0
2221391;21.06.2024;10;2;3
1246378;21.06.2024;10;2;3
927806;21.06.2024;10;3;0
783980;21.06.2024;10;3;4
663874;21.06.2024;10;5;3
642219;21.06.2024;10;3;0
568172;21.06.2024;10;4;0
926766374;20.06.2024;10;4;2
686695244;20.06.2024;10;5;2
677839643;20.06.2024;10;0;6
670099039;20.06.2024;10;0;9
75355693;20.06.2024;10;2;2
71794893;20.06.2024;10;2;12
66259542;20.06.2024;10;4;9
30208068;20.06.2024;10;0;5
6355060;20.06.2024;10;17;4
6353988;20.06.2024;10;2;3
5382879;20.06.2024;10;2;2
4372718;20.06.2024;10;1;7
1930871;20.06.2024;10;1;3
576010;20.06.2024;10;3;5
949296676;19.06.2024;10;0;5
932722152;19.06.2024;10;1;3
679951994;19.06.2024;10;1;2
677794225;19.06.2024;10;1;2
553169079;19.06.2024;10;1;2
542559877;19.06.2024;10;1;1
66827509;19.06.2024;10;1;5
10859917;19.06.2024;10;3;1
9077740;19.06.2024;10;0;0
8071139;19.06.2024;10;2;1
7652556;19.06.2024;10;1;2
7514794;19.06.2024;10;4;1
6586399;19.06.2024;10;1;2
5685173;19.06.2024;10;4;4
4560909;19.06.2024;10;0;3
4553553;19.06.2024;10;2;1
3299922;19.06.2024;10;1;2
1809231;19.06.2024;10;2;4
861591;19.06.2024;10;3;2
610284;19.06.2024;10;2;0
390944;19.06.2024;10;2;4
349761;19.06.2024;10;1;2
243085;19.06.2024;10;6;3
181075;19.06.2024;10;1;1
27894;19.06.2024;10;2;1
944195248;21.06.2024;9;1;1
942630457;21.06.2024;9;6;1
940728783;21.06.2024;9;2;1
908524032;21.06.2024;9;1;7
900966286;21.06.2024;9;2;0
843066359;21.06.2024;9;1;1
818888453;21.06.2024;9;2;0
816614020;21.06.2024;9;2;0
813455861;21.06.2024;9;8;4
700396402;21.06.2024;9;10;6
691255892;21.06.2024;9;0;0
690369282;21.06.2024;9;3;4
689949116;21.06.2024;9;3;0
682043972;21.06.2024;9;3;0
680893850;21.06.2024;9;1;3
679459157;21.06.2024;9;1;2
678744052;21.06.2024;9;11;5
676480865;21.06.2024;9;2;0
676250672;21.06.2024;9;1;2
675487708;21.06.2024;9;2;2
675173073;21.06.2024;9;2;0
673929162;21.06.2024;9;1;0
671902731;21.06.2024;9;2;0
669599480;21.06.2024;9;0;0
547115433;21.06.2024;9;4;9
547026677;21.06.2024;9;2;0
546239822;21.06.2024;9;2;0
543722594;21.06.2024;9;0;1
540457924;21.06.2024;9;3;2
230353068;21.06.2024;9;2;13
87766837;21.06.2024;9;2;0
73158691;21.06.2024;9;2;0
72484640;21.06.2024;9;4;0
72220248;21.06.2024;9;1;2
70695888;21.06.2024;9;4;1
70686579;21.06.2024;9;2;0
70096837;21.06.2024;9;2;0
67776303;21.06.2024;9;0;2
53222515;21.06.2024;9;3;2
53105275;21.06.2024;9;4;2
52888007;21.06.2024;9;4;2
32559319;21.06.2024;9;1;0
31756292;21.06.2024;9;3;0
29594267;21.06.2024;9;5;5
28968380;21.06.2024;9;0;3
26652293;21.06.2024;9;1;3
24679558;21.06.2024;9;3;0
14916248;21.06.2024;9;3;3
14427696;21.06.2024;9;1;1
12404877;21.06.2024;9;6;2
12350822;21.06.2024;9;2;3
10624066;21.06.2024;9;1;1
8757049;21.06.2024;9;1;0
8297848;21.06.2024;9;1;3
8054520;21.06.2024;9;1;1
7682970;21.06.2024;9;1;1
7519342;21.06.2024;9;3;0
7361844;21.06.2024;9;4;0
7283504;21.06.2024;9;8;1
6856035;21.06.2024;9;0;2
5674737;21.06.2024;9;1;4
4475316;21.06.2024;9;1;1
4238829;21.06.2024;9;6;5
3240393;21.06.2024;9;2;1
3227036;21.06.2024;9;0;1
3188340;21.06.2024;9;4;8
2424091;21.06.2024;9;2;0
2320909;21.06.2024;9;1;7
1807923;21.06.2024;9;11;6
1336280;21.06.2024;9;1;0
1278570;21.06.2024;9;1;0
1157314;21.06.2024;9;0;0
447150;21.06.2024;9;1;0
443054;21.06.2024;9;4;0
436469;21.06.2024;9;3;4
427610;21.06.2024;9;0;0
246046;21.06.2024;9;3;4
19491;21.06.2024;9;1;0
7210;21.06.2024;9;6;3
952882459;20.06.2024;9;0;1
846300601;20.06.2024;9;6;5
706103235;20.06.2024;9;2;14
690790962;20.06.2024;9;3;9
685487146;20.06.2024;9;2;5
681412156;20.06.2024;9;4;6
555703035;20.06.2024;9;3;3
549466146;20.06.2024;9;1;6
549415966;20.06.2024;9;4;5
71663737;20.06.2024;9;0;4
67983864;20.06.2024;9;2;8
34711748;20.06.2024;9;0;5
16159206;20.06.2024;9;3;9
15280382;20.06.2024;9;1;3
10400323;20.06.2024;9;0;2
5499745;20.06.2024;9;9;3
4850582;20.06.2024;9;1;7
3743159;20.06.2024;9;4;15
2749585;20.06.2024;9;1;4
934204078;19.06.2024;9;0;2
919791544;19.06.2024;9;0;2
890288850;19.06.2024;9;3;4
874820059;19.06.2024;9;1;5
851906544;19.06.2024;9;1;3
833493447;19.06.2024;9;0;5
718061077;19.06.2024;9;3;1
680092725;19.06.2024;9;3;3
678966936;19.06.2024;9;0;8
675828073;19.06.2024;9;1;0
675451475;19.06.2024;9;0;1
674124904;19.06.2024;9;1;2
673902315;19.06.2024;9;0;1
670023788;19.06.2024;9;2;0
667283994;19.06.2024;9;0;7
545380479;19.06.2024;9;1;1
544627397;19.06.2024;9;4;4
425971513;19.06.2024;9;2;2
71552323;19.06.2024;9;4;1
68351331;19.06.2024;9;1;2
44850323;19.06.2024;9;2;7
34452076;19.06.2024;9;2;4
29578514;19.06.2024;9;4;3
18160874;19.06.2024;9;1;3
15202189;19.06.2024;9;1;9
11501278;19.06.2024;9;1;4
10057582;19.06.2024;9;1;0
7678213;19.06.2024;9;1;1
7173189;19.06.2024;9;1;3
5023410;19.06.2024;9;0;3
3985323;19.06.2024;9;1;4
3382039;19.06.2024;9;0;1
2880997;19.06.2024;9;1;5
2850899;19.06.2024;9;2;2
2825465;19.06.2024;9;2;0
2553120;19.06.2024;9;1;5
2531560;19.06.2024;9;2;5
2174533;19.06.2024;9;1;0
1507572;19.06.2024;9;0;1
1284323;19.06.2024;9;7;2
1113676;19.06.2024;9;0;3
1104060;19.06.2024;9;0;0
955830;19.06.2024;9;1;2
872544;19.06.2024;9;1;1
849339;19.06.2024;9;2;7
848491;19.06.2024;9;1;3
466110;19.06.2024;9;1;4
956880806;21.06.2024;8;1;0
956775489;21.06.2024;8;2;0
953163543;21.06.2024;8;5;1
950057264;21.06.2024;8;2;3
944640101;21.06.2024;8;1;0
934949336;21.06.2024;8;3;5
934396177;21.06.2024;8;3;5
931551796;21.06.2024;8;1;0
906092548;21.06.2024;8;1;9
900715215;21.06.2024;8;0;0
891242775;21.06.2024;8;2;1
872264104;21.06.2024;8;10;2
851969221;21.06.2024;8;0;0
845702358;21.06.2024;8;10;11
830991211;21.06.2024;8;1;3
818306799;21.06.2024;8;1;3
814166131;21.06.2024;8;17;14
811972830;21.06.2024;8;2;5
806751438;21.06.2024;8;11;14
696013025;21.06.2024;8;1;6
693173500;21.06.2024;8;1;0
688497028;21.06.2024;8;1;0
688468418;21.06.2024;8;2;1
688213823;21.06.2024;8;1;2
678898709;21.06.2024;8;2;2
678268236;21.06.2024;8;3;0
677911659;21.06.2024;8;1;0
677427413;21.06.2024;8;2;2
677153810;21.06.2024;8;2;0
676891560;21.06.2024;8;1;9
676468035;21.06.2024;8;1;0
672605763;21.06.2024;8;0;0
668673398;21.06.2024;8;2;0
552587516;21.06.2024;8;1;0
550492286;21.06.2024;8;2;0
548243345;21.06.2024;8;1;0
547776899;21.06.2024;8;0;0
547656597;21.06.2024;8;2;5
547638012;21.06.2024;8;3;0
546369190;21.06.2024;8;5;6
